Smell Type,SmellRL F1,Rule-Based F1,Delta
GodClass,0.4717,0.0,0.4717
FeatureEnvy,0.2013,0.0,0.2013
LongMethod,0.5236,0.0,0.5236
DataClass,0.5374,0.1788,0.3586
NoSmell,0.5586,0.5989,-0.0403
