Smell Type,SmellRL F1,Rule-Based F1,Delta
GodClass,0.5714,0.0,0.5714
FeatureEnvy,0.2063,0.0,0.2063
LongMethod,0.5517,0.0,0.5517
DataClass,0.6452,0.0,0.6452
NoSmell,0.4296,0.3916,0.038
