,GodClass,FeatureEnvy,LongMethod,DataClass,NoSmell
GodClass,78,2,4,33,14
FeatureEnvy,0,20,27,0,11
LongMethod,1,32,56,0,11
DataClass,28,0,1,97,21
NoSmell,82,58,36,79,185
