Smell Type,SmellRL F1,Rule-Based F1,Delta
GodClass,0.4875,0.0,0.4875
FeatureEnvy,0.2353,0.0,0.2353
LongMethod,0.5,0.0,0.5
DataClass,0.5449,0.1788,0.3661
NoSmell,0.5425,0.5989,-0.0564
